model,alpha,module,task,metric,value,format_error_rate,wrong_answer_rate,length_finish_rate
llama3b,0.0,judge,AdvBench,score,2.97,,,
llama3b,0.0,judge,HaluEval,score,1.66,,,
llama3b,0.0,judge,TruthfulQA,score,1.0,,,
llama3b,0.0,standard,ARC-Challenge,correct_rate,0.69,0.0,0.31,
llama3b,0.0,standard,DROP,correct_rate,0.46,0.01,0.53,
llama3b,0.0,standard,GSM8K,correct_rate,0.2,0.0,0.8,
llama3b,0.0,standard,MATH,correct_rate,0.21,0.0,0.79,
llama3b,0.0,standard_cot,GSM8K,correct_rate,0.72,0.01,0.27,0.0
llama3b,0.0,standard_cot,MATH,correct_rate,0.46,0.06,0.48,0.05
llama3b,0.1,bfcl,BFCL_v3_simple,First_pass_success,0.025,,,
llama3b,0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.04,,,
llama3b,0.1,judge,AdvBench,score,2.95,,,
llama3b,0.1,judge,HaluEval,score,1.69,,,
llama3b,0.1,judge,TruthfulQA,score,1.15,,,
llama3b,0.1,standard,ARC-Challenge,correct_rate,0.7,0.0,0.3,
llama3b,0.1,standard,DROP,correct_rate,0.46,0.0,0.54,
llama3b,0.1,standard,GSM8K,correct_rate,0.15,0.0,0.85,
llama3b,0.1,standard,MATH,correct_rate,0.24,0.0,0.76,
llama3b,0.1,standard_cot,GSM8K,correct_rate,0.67,0.02,0.31,0.01
llama3b,0.1,standard_cot,MATH,correct_rate,0.45,0.06,0.49,0.04
llama3b,0.2,bfcl,BFCL_v3_simple,First_pass_success,0.025,,,
llama3b,0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.04,,,
llama3b,0.2,judge,AdvBench,score,2.96,,,
llama3b,0.2,judge,HaluEval,score,1.68,,,
llama3b,0.2,judge,TruthfulQA,score,1.01,,,
llama3b,0.2,standard,ARC-Challenge,correct_rate,0.59,0.0,0.41,
llama3b,0.2,standard,DROP,correct_rate,0.49,0.0,0.51,
llama3b,0.2,standard,GSM8K,correct_rate,0.15,0.0,0.85,
llama3b,0.2,standard,MATH,correct_rate,0.23,0.0,0.77,
llama3b,0.2,standard_cot,GSM8K,correct_rate,0.57,0.11,0.32,0.0
llama3b,0.2,standard_cot,MATH,correct_rate,0.34,0.28,0.38,0.2
llama3b,0.3,bfcl,BFCL_v3_simple,First_pass_success,0.0,,,
llama3b,0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.0,,,
llama3b,0.3,judge,AdvBench,score,2.95,,,
llama3b,0.3,judge,HaluEval,score,1.34,,,
llama3b,0.3,judge,TruthfulQA,score,0.62,,,
llama3b,0.3,standard,ARC-Challenge,correct_rate,0.19,0.0,0.81,
llama3b,0.3,standard,DROP,correct_rate,0.23,0.01,0.76,
llama3b,0.3,standard,GSM8K,correct_rate,0.11,0.02,0.87,
llama3b,0.3,standard,MATH,correct_rate,0.1,0.01,0.89,
llama3b,0.3,standard_cot,GSM8K,correct_rate,0.13,0.38,0.49,0.16
llama3b,0.3,standard_cot,MATH,correct_rate,0.09,0.41,0.5,0.26
qwen3_8b,-0.4,bfcl,BFCL_v3_simple,First_pass_success,0.005,,,
qwen3_8b,-0.4,bfcl,BFCL_v3_simple,Retry_enabled_success,0.015,,,
qwen3_8b,-0.4,judge,AdvBench,score,2.81,,,
qwen3_8b,-0.4,judge,HaluEval,score,0.85,,,
qwen3_8b,-0.4,judge,TruthfulQA,score,0.6,,,
qwen3_8b,-0.4,standard,ARC-Challenge,correct_rate,0.7,0.02,0.28,
qwen3_8b,-0.4,standard,DROP,correct_rate,0.21,0.09,0.7,
qwen3_8b,-0.4,standard,GSM8K,correct_rate,0.13,0.03,0.84,
qwen3_8b,-0.4,standard,MATH,correct_rate,0.15,0.07,0.78,
qwen3_8b,-0.3,bfcl,BFCL_v3_simple,First_pass_success,0.125,,,
qwen3_8b,-0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.355,,,
qwen3_8b,-0.3,judge,AdvBench,score,2.81,,,
qwen3_8b,-0.3,judge,HaluEval,score,1.24,,,
qwen3_8b,-0.3,judge,TruthfulQA,score,0.82,,,
qwen3_8b,-0.3,standard,ARC-Challenge,correct_rate,0.86,0.0,0.14,
qwen3_8b,-0.3,standard,DROP,correct_rate,0.43,0.0,0.57,
qwen3_8b,-0.3,standard,GSM8K,correct_rate,0.45,0.0,0.55,
qwen3_8b,-0.3,standard,MATH,correct_rate,0.47,0.01,0.52,
qwen3_8b,-0.3,standard_cot,GSM8K,correct_rate,0.03,0.97,0.0,0.98
qwen3_8b,-0.3,standard_cot,MATH,correct_rate,0.02,0.98,0.0,0.99
qwen3_8b,-0.2,bfcl,BFCL_v3_simple,First_pass_success,0.115,,,
qwen3_8b,-0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.415,,,
qwen3_8b,-0.2,judge,AdvBench,score,2.92,,,
qwen3_8b,-0.2,judge,HaluEval,score,1.36,,,
qwen3_8b,-0.2,judge,TruthfulQA,score,0.87,,,
qwen3_8b,-0.2,standard,ARC-Challenge,correct_rate,0.9,0.0,0.1,
qwen3_8b,-0.2,standard,DROP,correct_rate,0.61,0.02,0.37,
qwen3_8b,-0.2,standard,GSM8K,correct_rate,0.81,0.0,0.19,
qwen3_8b,-0.2,standard,MATH,correct_rate,0.49,0.0,0.51,
qwen3_8b,-0.2,standard_cot,GSM8K,correct_rate,0.66,0.34,0.0,0.35
qwen3_8b,-0.2,standard_cot,MATH,correct_rate,0.5,0.47,0.03,0.52
qwen3_8b,-0.1,bfcl,BFCL_v3_simple,First_pass_success,0.095,,,
qwen3_8b,-0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.395,,,
qwen3_8b,-0.1,judge,AdvBench,score,2.89,,,
qwen3_8b,-0.1,judge,HaluEval,score,1.39,,,
qwen3_8b,-0.1,judge,TruthfulQA,score,0.86,,,
qwen3_8b,-0.1,standard,ARC-Challenge,correct_rate,0.9,0.0,0.1,
qwen3_8b,-0.1,standard,DROP,correct_rate,0.63,0.0,0.37,
qwen3_8b,-0.1,standard,GSM8K,correct_rate,0.84,0.0,0.16,
qwen3_8b,-0.1,standard,MATH,correct_rate,0.45,0.0,0.55,
qwen3_8b,-0.1,standard_cot,GSM8K,correct_rate,0.92,0.08,0.0,0.08
qwen3_8b,-0.1,standard_cot,MATH,correct_rate,0.72,0.2,0.08,0.23
qwen3_8b,0.0,bfcl,BFCL_v3_simple,First_pass_success,0.22,,,
qwen3_8b,0.0,bfcl,BFCL_v3_simple,Retry_enabled_success,0.51,,,
qwen3_8b,0.0,judge,AdvBench,score,2.93,,,
qwen3_8b,0.0,judge,HaluEval,score,1.35,,,
qwen3_8b,0.0,judge,TruthfulQA,score,0.93,,,
qwen3_8b,0.0,standard,ARC-Challenge,correct_rate,0.89,0.0,0.11,
qwen3_8b,0.0,standard,DROP,correct_rate,0.68,0.0,0.32,
qwen3_8b,0.0,standard,GSM8K,correct_rate,0.87,0.0,0.13,
qwen3_8b,0.0,standard,MATH,correct_rate,0.42,0.0,0.58,
qwen3_8b,0.1,bfcl,BFCL_v3_simple,First_pass_success,0.245,,,
qwen3_8b,0.1,bfcl,BFCL_v3_simple,Retry_enabled_success,0.58,,,
qwen3_8b,0.1,judge,AdvBench,score,2.86,,,
qwen3_8b,0.1,judge,HaluEval,score,1.41,,,
qwen3_8b,0.1,judge,TruthfulQA,score,1.0,,,
qwen3_8b,0.1,standard,ARC-Challenge,correct_rate,0.91,0.0,0.09,
qwen3_8b,0.1,standard,DROP,correct_rate,0.73,0.0,0.27,
qwen3_8b,0.1,standard,GSM8K,correct_rate,0.8,0.0,0.2,
qwen3_8b,0.1,standard,MATH,correct_rate,0.38,0.0,0.62,
qwen3_8b,0.1,standard_cot,GSM8K,correct_rate,0.97,0.0,0.03,0.01
qwen3_8b,0.1,standard_cot,MATH,correct_rate,0.8,0.14,0.06,0.14
qwen3_8b,0.2,bfcl,BFCL_v3_simple,First_pass_success,0.075,,,
qwen3_8b,0.2,bfcl,BFCL_v3_simple,Retry_enabled_success,0.27,,,
qwen3_8b,0.2,judge,AdvBench,score,2.83,,,
qwen3_8b,0.2,judge,HaluEval,score,1.41,,,
qwen3_8b,0.2,judge,TruthfulQA,score,0.98,,,
qwen3_8b,0.2,standard,ARC-Challenge,correct_rate,0.85,0.0,0.15,
qwen3_8b,0.2,standard,DROP,correct_rate,0.6,0.0,0.4,
qwen3_8b,0.2,standard,GSM8K,correct_rate,0.71,0.0,0.29,
qwen3_8b,0.2,standard,MATH,correct_rate,0.35,0.01,0.64,
qwen3_8b,0.2,standard_cot,GSM8K,correct_rate,0.8,0.14,0.06,0.14
qwen3_8b,0.2,standard_cot,MATH,correct_rate,0.61,0.31,0.08,0.37
qwen3_8b,0.3,bfcl,BFCL_v3_simple,First_pass_success,0.13,,,
qwen3_8b,0.3,bfcl,BFCL_v3_simple,Retry_enabled_success,0.265,,,
qwen3_8b,0.3,judge,AdvBench,score,2.89,,,
qwen3_8b,0.3,judge,HaluEval,score,1.09,,,
qwen3_8b,0.3,judge,TruthfulQA,score,0.79,,,
qwen3_8b,0.3,standard,ARC-Challenge,correct_rate,0.7,0.01,0.29,
qwen3_8b,0.3,standard,DROP,correct_rate,0.27,0.0,0.73,
qwen3_8b,0.3,standard,GSM8K,correct_rate,0.25,0.01,0.74,
qwen3_8b,0.3,standard,MATH,correct_rate,0.21,0.0,0.79,
qwen3_8b,0.4,bfcl,BFCL_v3_simple,First_pass_success,0.005,,,
qwen3_8b,0.4,bfcl,BFCL_v3_simple,Retry_enabled_success,0.015,,,
qwen3_8b,0.4,judge,AdvBench,score,2.38,,,
qwen3_8b,0.4,judge,HaluEval,score,0.51,,,
qwen3_8b,0.4,judge,TruthfulQA,score,0.77,,,
qwen3_8b,0.4,standard,ARC-Challenge,correct_rate,0.27,0.01,0.72,
qwen3_8b,0.4,standard,DROP,correct_rate,0.06,0.02,0.92,
qwen3_8b,0.4,standard,GSM8K,correct_rate,0.08,0.0,0.92,
qwen3_8b,0.4,standard,MATH,correct_rate,0.15,0.02,0.83,
qwen3_8b,0.4,standard_cot,GSM8K,correct_rate,0.08,0.89,0.03,0.89
qwen3_8b,0.4,standard_cot,MATH,correct_rate,0.02,0.89,0.09,0.93
